code,naam,categorie,bestand,bronpagina
P057,Waterscooters verbodenn,Verbod,afbeeldingen/P057.png,9
P058,Geen voortgetrokken wateractiviteiten,Verbod,afbeeldingen/P058.png,9
P059,Verboden te surfen,Verbod,afbeeldingen/P059.png,9
P060,Buitenschoenen verboden,Verbod,afbeeldingen/P060.png,9
P061,Verboden in het water te springen,Verbod,afbeeldingen/P061.png,9
P062,Verboden in het water te duwen,Verbod,afbeeldingen/P062.png,9
P063,Verboden te bodyboarden,Verbod,afbeeldingen/P063.png,9
P064,Verboden te surfen tussen de rood-gele vlaggen,Verbod,afbeeldingen/P064.png,9
P065,Verboden te kitesurfen,Verbod,afbeeldingen/P065.png,9
P066,Verboden te parasailen,Verbod,afbeeldingen/P066.png,9
P067,Verboden te strandzeilen,Verbod,afbeeldingen/P067.png,9
W001,Waarschuwing,Waarschuwing,afbeeldingen/W001.png,15
W002,Explosieve stoffen,Waarschuwing,afbeeldingen/W002.png,15
W003,Radioactieve stoffen,Waarschuwing,afbeeldingen/W003.png,15
W004,Laserstraal,Waarschuwing,afbeeldingen/W004.png,15
W005,Niet-ioniserende straling,Waarschuwing,afbeeldingen/W005.png,15
W006,Sterk magnetisch veld,Waarschuwing,afbeeldingen/W006.png,15
W007,Struikelgevaar,Waarschuwing,afbeeldingen/W007.png,15
W008,Vallen door hoogteverschil,Waarschuwing,afbeeldingen/W008.png,15
W009,Biologisch besmettingsgevaar,Waarschuwing,afbeeldingen/W009.png,15
W010,* Lage temperaturen,Waarschuwing,afbeeldingen/W010.png,15
W011,Glad oppervlak,Waarschuwing,afbeeldingen/W011.png,15
W012,Gevaarlĳke elektrische spanning,Waarschuwing,afbeeldingen/W012.png,15
W013,Waakhond,Waarschuwing,afbeeldingen/W013.png,15
W014,Transportvoertuigen,Waarschuwing,afbeeldingen/W014.png,15
W015,Hangende last,Waarschuwing,afbeeldingen/W015.png,15
W016,Giftige stoffen,Waarschuwing,afbeeldingen/W016.png,15
W017,Warm oppervlak,Waarschuwing,afbeeldingen/W017.png,15
W018,Automatisch startende machine,Waarschuwing,afbeeldingen/W018.png,15
W019,Knellingsgevaaar,Waarschuwing,afbeeldingen/W019.png,16
W020,Laaghangende obstakels – stootgevaar,Waarschuwing,afbeeldingen/W020.png,16
W021,Ontvlambare stoffen,Waarschuwing,afbeeldingen/W021.png,16
W022,Gevaar voor scherpe elementen,Waarschuwing,afbeeldingen/W022.png,16
W023,Bĳtende stoffen,Waarschuwing,afbeeldingen/W023.png,16
W024,Verwondingen aan de hand,Waarschuwing,afbeeldingen/W024.png,16
W025,Roterende onderdelen,Waarschuwing,afbeeldingen/W025.png,16
W026,Gevaren door laden van accu's,Waarschuwing,afbeeldingen/W026.png,16
W027,Optische straling,Waarschuwing,afbeeldingen/W027.png,16
W028,Oxiderende stoffen,Waarschuwing,afbeeldingen/W028.png,16
W029,Gashouders onder druk,Waarschuwing,afbeeldingen/W029.png,16
W030,Handverbrĳzeling tussen buigbank,Waarschuwing,afbeeldingen/W030.png,16
W031,Handverbrĳzeling tussen buigbank en materiaal,Waarschuwing,afbeeldingen/W031.png,16
W032,Snel bewegend werkstuk in de buigbank,Waarschuwing,afbeeldingen/W032.png,16
W033,Prikkeldraad,Waarschuwing,afbeeldingen/W033.png,16
W034,Stier,Waarschuwing,afbeeldingen/W034.png,16
W035,Vallende voorwerpen,Waarschuwing,afbeeldingen/W035.png,16
W036,Instortingsgevaar dak,Waarschuwing,afbeeldingen/W036.png,16
W037,Op afstand bediende machine,Waarschuwing,afbeeldingen/W037.png,17
W038,Plots hard geluid,Waarschuwing,afbeeldingen/W038.png,17
W039,Vallend ĳs,Waarschuwing,afbeeldingen/W039.png,17
W040,Daklawine,Waarschuwing,afbeeldingen/W040.png,17
W041,Verstikkende atmosfeer,Waarschuwing,afbeeldingen/W041.png,17
W042,Waarschuwing - Vlamboog,Waarschuwing,afbeeldingen/W042.png,17
W043,Waarschuwing – Dun ĳs,Waarschuwing,afbeeldingen/W043.png,17
W044,Waarschuwing – Botenhelling,Waarschuwing,afbeeldingen/W044.png,17
W045,Waarschuwing – Zone voor voortgetrokken wateractiviteiten,Waarschuwing,afbeeldingen/W045.png,17
W046,Waarschuwing – Watersurfgebied,Waarschuwing,afbeeldingen/W046.png,17
W047,Waarschuwing – Diep water,Waarschuwing,afbeeldingen/W047.png,17
W048,Waarschuwing – Ondiep water,Waarschuwing,afbeeldingen/W048.png,17
W049,Waarschuwing – Objecten onder water,Waarschuwing,afbeeldingen/W049.png,17
W050,Waarschuwing – Plotse daling naar dieper water,Waarschuwing,afbeeldingen/W050.png,17
W051,Waarschuwing – Onbeschermde randen,Waarschuwing,afbeeldingen/W051.png,17
W052,Waarschuwing – Onstabiele klifrand,Waarschuwing,afbeeldingen/W052.png,17
W053,Waarschuwing – Onstabiele klif,Waarschuwing,afbeeldingen/W053.png,17
W054,Waarschuwing – Haaien,Waarschuwing,afbeeldingen/W054.png,17
W055,Waarschuwing – Rioolwatermonding,Waarschuwing,afbeeldingen/W055.png,18
W056,Waarschuwing – Tsunamigebied,Waarschuwing,afbeeldingen/W056.png,18
W057,Waarschuwing – Sterke stroming,Waarschuwing,afbeeldingen/W057.png,18
W058,Waarschuwing – Vaargebied,Waarschuwing,afbeeldingen/W058.png,18
W059,Waarschuwing – Strandzeilen,Waarschuwing,afbeeldingen/W059.png,18
W060,Waarschuwing – Vloedgevaar,Waarschuwing,afbeeldingen/W060.png,18
W061,Waarschuwing – Drĳfzand of modder/ diepe modder of slib,Waarschuwing,afbeeldingen/W061.png,18
W062,Waarschuwing – Kitesurfen,Waarschuwing,afbeeldingen/W062.png,18
W063,Waarschuwing – Parasailing,Waarschuwing,afbeeldingen/W063.png,18
W064,Waarschuwing – Sterke wind,Waarschuwing,afbeeldingen/W064.png,18
W065,Waarschuwing – Hoge golven,Waarschuwing,afbeeldingen/W065.png,18
W066,Waarschuwing – Sterk aﬂopend strand,Waarschuwing,afbeeldingen/W066.png,18
W067,"Waarschuwing – Krokodillen, alligators of kaaimannen",Waarschuwing,afbeeldingen/W067.png,18
